MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
20667,RS,4306452,AC DOIS LAJEADOS,RUA THOMAS GONZAGA,SALA 02,316,CENTRO,DOIS LAJEADOS,DOIS LAJEADOS,RS,99220970
426337,RS,4306429,AC DOIS IRMAOS DAS MISSOES,RUA AMANTINO JOSE SCHIAVO,0,153,CENTRO,DOIS IRMAOS DAS MISSOES,DOIS IRMAOS DAS MISSOES,RS,98385971
20388,RS,4306403,AC DOIS IRMAOS,AVENIDA VINTE E CINCO DE JULHO,0,515,CENTRO,DOIS IRMAOS,DOIS IRMAOS,RS,93950970
61759,RS,4306379,AC DILERMANDO DE AGUIAR,AVENIDA ROCHA VIEIRA,0,598,CENTRO,DILERMANDO DE AGUIAR,DILERMANDO DE AGUIAR,RS,97180971
425640,RS,4306353,AC DEZESSEIS DE NOVEMBRO,RUA SETE DE MARCO,0,96,CENTRO,DEZESSEIS DE NOVEMBRO,DEZESSEIS DE NOVEMBRO,RS,97845971
60325,RS,4306320,AC DERRUBADAS,RUA IJUI,0,482,CENTRO,DERRUBADAS,DERRUBADAS,RS,98528971
20430,RS,4306304,AC DAVID CANABARRO,RUA ADELINO GAZZONI,0,160,CENTRO,DAVID CANABARRO,DAVID CANABARRO,RS,99980970
20501,RS,4306205,AC CRUZEIRO DO SUL,RUA GENERAL NETO,0,229,CENTRO,CRUZEIRO DO SUL,CRUZEIRO DO SUL,RS,95930970
425211,RS,4306130,AC CRUZALTENSE,RUA PEDRO ALVARES CABRAL,0,499,CENTRO,CRUZALTENSE,CRUZALTENSE,RS,99665971
20566,RS,4306106,AC CRUZ ALTA,AVENIDA GENERAL OSORIO,0,577,CENTRO,CRUZ ALTA,CRUZ ALTA,RS,98005970
236728,RS,4306072,AC CRISTAL DO SUL,RUA MARCELINO ZARDINELLO,SALAS 02,820,CENTRO,CRISTAL DO SUL,CRISTAL DO SUL,RS,98368971
20661,RS,4306056,AC CRISTAL,RUA LAJEADO,0,50,CENTRO,CRISTAL,CRISTAL,RS,96195970
20630,RS,4306007,AC CRISSIUMAL,AVENIDA PRESIDENTE CASTELO BRANCO,0,575,CENTRO,CRISSIUMAL,CRISSIUMAL,RS,98640970
56067,RS,4305975,AC COXILHA,RUA DARCI ANTONIO VICENTE,0,111,CENTRO,COXILHA,COXILHA,RS,99145971
20541,RS,4305959,AC COTIPORA,RUA SILVEIRA MARTINS,SALAS 01,11,CENTRO,COTIPORA,COTIPORA,RS,95335970
425727,RS,4305934,AC CORONEL PILAR,AVENIDA VINTE E CINCO JULHO,0,655,CENTRO,CORONEL PILAR,CORONEL PILAR,RS,95726971
20629,RS,4305900,AC CORONEL BICACO,RUA SEVERINO DIAS,0,248,CENTRO,CORONEL BICACO,CORONEL BICACO,RS,98580970
